[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/App Knobs folder/kit-07, knobImage=270x270, meterVUFrame=0x0, meterLEDStrip=0x0, filesFound=396, knobFrames=396, vuFrames=0, buttonFrames=2, switchFrames=2
[SkinManager] Loaded skin from folder: /Volumes/MP 1/MoreMojo/Knobs/VU-Meter-04, knobImage=270x270, meterVUFrame=500x500, meterLEDStrip=0x0, filesFound=137, knobFrames=396, vuFrames=137, buttonFrames=2, switchFrames=2
[resized] ledMeter1=0 0 0 0 ledMeter2=0 0 0 0 waveform=16 16 0 0 transport=28 16 0 0
[resized] ledMeter1=24 24 0 0 ledMeter2=24 24 0 0 waveform=148 16 604 528 transport=160 544 580 40
[resized] ledMeter1=24 24 104 278 ledMeter2=772 24 104 278 waveform=148 16 609 518 transport=160 534 585 40
[resized] ledMeter1=24 24 104 273 ledMeter2=777 24 104 273 waveform=148 16 622 517 transport=160 533 598 40
[resized] ledMeter1=24 24 104 272 ledMeter2=790 24 104 272 waveform=148 16 631 517 transport=160 533 607 40
[resized] ledMeter1=24 24 104 272 ledMeter2=799 24 104 272 waveform=148 16 661 518 transport=160 534 637 40
[resized] ledMeter1=24 24 104 273 ledMeter2=829 24 104 273 waveform=148 16 691 513 transport=160 529 667 40
[resized] ledMeter1=24 24 104 270 ledMeter2=859 24 104 270 waveform=148 16 719 507 transport=160 523 695 40
[resized] ledMeter1=24 24 104 267 ledMeter2=887 24 104 267 waveform=148 16 728 505 transport=160 521 704 40
[resized] ledMeter1=24 24 104 266 ledMeter2=896 24 104 266 waveform=148 16 745 504 transport=160 520 721 40
[resized] ledMeter1=24 24 104 266 ledMeter2=913 24 104 266 waveform=148 16 765 501 transport=160 517 741 40
[resized] ledMeter1=24 24 104 264 ledMeter2=933 24 104 264 waveform=148 16 770 500 transport=160 516 746 40
[resized] ledMeter1=24 24 104 264 ledMeter2=938 24 104 264 waveform=148 16 775 497 transport=160 513 751 40
[resized] ledMeter1=24 24 104 262 ledMeter2=943 24 104 262 waveform=148 16 775 496 transport=160 512 751 40
[resized] ledMeter1=24 24 104 262 ledMeter2=943 24 104 262 waveform=148 16 775 497 transport=160 513 751 40
[resized] ledMeter1=24 24 104 262 ledMeter2=943 24 104 262 waveform=148 16 776 497 transport=160 513 752 40
[resized] ledMeter1=24 24 104 262 ledMeter2=944 24 104 262 waveform=148 16 785 514 transport=160 530 761 40
[resized] ledMeter1=24 24 104 271 ledMeter2=953 24 104 271 waveform=148 16 788 521 transport=160 537 764 40
[resized] ledMeter1=24 24 104 274 ledMeter2=956 24 104 274 waveform=148 16 798 545 transport=160 561 774 40
[resized] ledMeter1=24 24 104 286 ledMeter2=966 24 104 286 waveform=148 16 808 574 transport=160 590 784 40
[resized] ledMeter1=24 24 104 301 ledMeter2=976 24 104 301 waveform=148 16 819 604 transport=160 620 795 40
[resized] ledMeter1=24 24 104 316 ledMeter2=987 24 104 316 waveform=148 16 827 624 transport=160 640 803 40
[resized] ledMeter1=24 24 104 326 ledMeter2=995 24 104 326 waveform=148 16 838 646 transport=160 662 814 40
[resized] ledMeter1=24 24 104 337 ledMeter2=1006 24 104 337 waveform=148 16 841 654 transport=160 670 817 40
[resized] ledMeter1=24 24 104 341 ledMeter2=1009 24 104 341 waveform=148 16 842 656 transport=160 672 818 40
[resized] ledMeter1=24 24 104 342 ledMeter2=1010 24 104 342 waveform=148 16 842 660 transport=160 676 818 40
[resized] ledMeter1=24 24 104 344 ledMeter2=1010 24 104 344 waveform=148 16 842 662 transport=160 678 818 40
[resized] ledMeter1=24 24 104 345 ledMeter2=1010 24 104 345 waveform=148 16 841 664 transport=160 680 817 40
[resized] ledMeter1=24 24 104 346 ledMeter2=1009 24 104 346 waveform=148 16 839 667 transport=160 683 815 40
[resized] ledMeter1=24 24 104 347 ledMeter2=1007 24 104 347 waveform=148 16 838 669 transport=160 685 814 40
[resized] ledMeter1=24 24 104 348 ledMeter2=1006 24 104 348 waveform=148 16 838 670 transport=160 686 814 40
[resized] ledMeter1=24 24 104 349 ledMeter2=1006 24 104 349 waveform=148 16 838 671 transport=160 687 814 40
[resized] ledMeter1=24 24 104 349 ledMeter2=1006 24 104 349 waveform=148 16 838 672 transport=160 688 814 40
[resized] ledMeter1=24 24 104 350 ledMeter2=1006 24 104 350 waveform=148 16 839 673 transport=160 689 815 40
[resized] ledMeter1=24 24 104 350 ledMeter2=1007 24 104 350 waveform=148 16 841 675 transport=160 691 817 40
[resized] ledMeter1=24 24 104 351 ledMeter2=1009 24 104 351 waveform=148 16 842 677 transport=160 693 818 40
[resized] ledMeter1=24 24 104 352 ledMeter2=1010 24 104 352 waveform=148 16 844 677 transport=160 693 820 40
[resized] ledMeter1=24 24 104 352 ledMeter2=1012 24 104 352 waveform=148 16 846 679 transport=160 695 822 40
[resized] ledMeter1=24 24 104 353 ledMeter2=1014 24 104 353 waveform=148 16 849 681 transport=160 697 825 40
[resized] ledMeter1=24 24 104 354 ledMeter2=1017 24 104 354 waveform=148 16 849 682 transport=160 698 825 40
[resized] ledMeter1=24 24 104 355 ledMeter2=1017 24 104 355 waveform=148 16 848 682 transport=160 698 824 40
[resized] ledMeter1=24 24 104 355 ledMeter2=1016 24 104 355 waveform=148 16 847 682 transport=160 698 823 40
[resized] ledMeter1=24 24 104 355 ledMeter2=1015 24 104 355 waveform=148 16 846 683 transport=160 699 822 40
[resized] ledMeter1=24 24 104 355 ledMeter2=1014 24 104 355 waveform=148 16 846 685 transport=160 701 822 40
[resized] ledMeter1=24 24 104 356 ledMeter2=1014 24 104 356 waveform=148 16 846 687 transport=160 703 822 40
[resized] ledMeter1=24 24 104 357 ledMeter2=1014 24 104 357 waveform=148 16 846 689 transport=160 705 822 40
[resized] ledMeter1=24 24 104 358 ledMeter2=1014 24 104 358 waveform=148 16 846 693 transport=160 709 822 40
[resized] ledMeter1=24 24 104 360 ledMeter2=1014 24 104 360 waveform=148 16 846 696 transport=160 712 822 40
[resized] ledMeter1=24 24 104 362 ledMeter2=1014 24 104 362 waveform=148 16 846 700 transport=160 716 822 40
[resized] ledMeter1=24 24 104 364 ledMeter2=1014 24 104 364 waveform=148 16 846 701 transport=160 717 822 40
[resized] ledMeter1=24 24 104 364 ledMeter2=1014 24 104 364 waveform=148 16 846 702 transport=160 718 822 40
[resized] ledMeter1=24 24 104 365 ledMeter2=1014 24 104 365 waveform=148 16 846 703 transport=160 719 822 40
[resized] ledMeter1=24 24 104 365 ledMeter2=1014 24 104 365 waveform=148 16 847 704 transport=160 720 823 40
[resized] ledMeter1=24 24 104 366 ledMeter2=1015 24 104 366 waveform=148 16 850 705 transport=160 721 826 40
